word,category,weight
destroyed,sad,3
destroying,sad,3
destroys,sad,3
destruction,sad,3
destructive,sad,3
detached,sad,1
detain,sad,2
detained,sad,2
detention,sad,2
determined,happy,2
devastate,sad,2
devastated,sad,2
devastating,sad,2
devoted,happy,3
diamond,happy,1
dick,sad,4
dickhead,sad,4
die,sad,3
died,sad,3
difficult,sad,1
diffident,sad,2
dilemma,sad,1
dipshit,sad,3
dire,sad,3
direful,sad,3
dirt,sad,2
dirtier,sad,2
dirtiest,sad,2
dirty,sad,2
disabling,sad,1
disadvantage,sad,2
disadvantaged,sad,2
disappear,sad,1
disappeared,sad,1
disappears,sad,1
disappoint,sad,2
disappointed,sad,2
disappointing,sad,2
disappointment,sad,2
disappointments,sad,2
disappoints,sad,2
disaster,sad,2
disasters,sad,2
disastrous,sad,3
disbelieve,sad,2
discard,sad,1
discarded,sad,1
discarding,sad,1
discards,sad,1
disconsolate,sad,2
disconsolation,sad,2
discontented,sad,2
discord,sad,2
discounted,sad,1
discouraged,sad,2
discredited,sad,2
disdain,sad,2
disgrace,sad,2
disgraced,sad,2
disguise,sad,1
disguised,sad,1
disguises,sad,1
disguising,sad,1
disgust,sad,3
disgusted,sad,3
disgusting,sad,3
disheartened,sad,2
dishonest,sad,2
disillusioned,sad,2
disinclined,sad,2
disjointed,sad,2
dislike,sad,2
dismal,sad,2
dismayed,sad,2
disorder,sad,2
disorganized,sad,2
disoriented,sad,2
disparage,sad,2
disparaged,sad,2
disparages,sad,2
disparaging,sad,2
displeased,sad,2
dispute,sad,2
disputed,sad,2
disputes,sad,2
disputing,sad,2
disqualified,sad,2
disquiet,sad,2
disregard,sad,2
disregarded,sad,2
disregarding,sad,2
disregards,sad,2
disrespect,sad,2
disrespected,sad,2
disruption,sad,2
disruptions,sad,2
disruptive,sad,2
dissatisfied,sad,2
distort,sad,2
distorted,sad,2
distorting,sad,2
distorts,sad,2
distract,sad,2
distracted,sad,2
distraction,sad,2
distracts,sad,2
distress,sad,2
distressed,sad,2
distresses,sad,2
distressing,sad,2
distrust,sad,3
distrustful,sad,3
disturb,sad,2
disturbed,sad,2
disturbing,sad,2
disturbs,sad,2
dithering,sad,2
dizzy,sad,1
dodging,sad,2
dodgy,sad,2
dolorous,sad,2
doom,sad,2
doomed,sad,2
doubt,sad,1
doubted,sad,1
doubtful,sad,1
doubting,sad,1
doubts,sad,1
douche,sad,3
douchebag,sad,3
